
Transactions Submitted
Transaction ID,Client Ref 2,Action Date,Instalment,Service Type,Instalments,Account Name,Value,Frequency,

Cancelled
Transaction ID,Client Ref 2,Action Date,Instalment,Service Type,Instalments,Account Name,Value,Frequency,

InProgress
Transaction ID,Client Ref 2,Action Date,Instalment,Service Type,Instalments,Account Name,Value,Frequency,

Failed
Transaction ID,Client Ref 2,Action Date,Instalment,Service Type,Instalments,Account Name,Value,Frequency,Reason Code,

Future
Transaction ID,Client Ref 2,Action Date,Instalment,Service Type,Instalments,Account Name,Value,Frequency,
9953383,2646,2018/04/30,2,2 Day Debit,2,N,250.00,3,
10353818,2806,2018/04/30,1,2 Day Debit,3,V,300.00,3,
9955221,2433,2018/04/30,2,2 Day Debit,3,N,253.00,3,
10352816,3771,2018/04/30,1,2 Day Debit,1,N,170.00,3,
10353267,2435,2018/04/30,1,2 Day Debit,2,N,89.00,3,
10353718,2660,2018/04/30,1,2 Day Debit,3,A,250.00,3,
10354169,4127,2018/04/30,1,2 Day Debit,3,M,300.00,3,
9919355,5194,2018/04/30,2,2 Day Debit,2,N,150.00,3,
9947614,3189,2018/04/30,2,2 Day Debit,3,F,300.00,3,
10353167,5310,2018/04/30,1,2 Day Debit,2,N,78.00,3,
9922244,4183,2018/04/30,2,2 Day Debit,2,N,300.00,3,
10354186,3329,2018/04/30,1,2 Day Debit,3,N,250.00,3,
9916615,5453,2018/04/30,2,2 Day Debit,2,J,200.00,3,
9945408,3342,2018/04/30,2,2 Day Debit,3,N,150.00,3,
9954468,2475,2018/04/30,2,2 Day Debit,2,Y,250.00,3,
10353184,4674,2018/04/30,1,2 Day Debit,1,N,301.00,3,
9938119,3606,2018/04/30,2,2 Day Debit,2,Z,200.00,3,
9956553,2645,2018/04/30,2,2 Day Debit,4,N,251.00,3,
9995332,2890,2018/04/30,2,2 Day Debit,4,N,300.00,3,
9919310,5120,2018/04/30,2,2 Day Debit,2,P,200.00,3,
9955356,2451,2018/04/30,2,2 Day Debit,4,P,251.00,3,
9994943,4382,2018/04/30,2,2 Day Debit,3,T,300.00,3,
10352854,3548,2018/04/30,1,2 Day Debit,2,N,300.00,3,
9919367,5159,2018/04/30,2,2 Day Debit,2,N,150.00,3,
10352911,3251,2018/04/30,1,2 Day Debit,1,N,50.00,3,
9921157,5052,2018/04/30,2,2 Day Debit,2,N,301.00,3,
9995057,4022,2018/04/30,2,2 Day Debit,2,C,78.00,3,
10352811,3820,2018/04/30,1,2 Day Debit,1,N,301.00,3,
10352968,2756,2018/04/30,1,2 Day Debit,1,N,250.00,3,
9921214,4983,2018/04/30,2,2 Day Debit,2,M,150.00,3,
9994957,4368,2018/04/30,2,2 Day Debit,3,P,300.00,3,
10352868,3461,2018/04/30,1,2 Day Debit,1,N,50.00,3,
10353279,4274,2018/04/30,1,2 Day Debit,1,N,210.00,3,
9948540,3132,2018/04/30,2,2 Day Debit,3,N,365.00,3,
10353179,4820,2018/04/30,1,2 Day Debit,1,N,250.00,3,
10353336,4121,2018/04/30,1,2 Day Debit,1,N,83.00,3,
10353236,4408,2018/04/30,1,2 Day Debit,1,A,300.00,3,
10353647,4116,2018/04/30,1,2 Day Debit,1,N,301.00,3,
10353678,2413,2018/04/30,1,2 Day Debit,2,N,227.00,3,
10353578,4531,2018/04/30,1,2 Day Debit,1,N,300.00,3,
8351295,2998,2018/04/30,5,2 Day Debit,5,T,151.00,3,
9922301,4070,2018/04/30,2,2 Day Debit,2,M,298.00,3,
10353478,3825,2018/04/30,1,2 Day Debit,1,M,301.00,3,
10354046,5039,2018/04/30,1,2 Day Debit,3,C,300.00,3,
9916090,5451,2018/04/30,2,2 Day Debit,2,M,307.00,3,
9916658,5470,2018/04/30,2,2 Day Debit,2,N,357.00,3,
9953326,2663,2018/04/30,2,2 Day Debit,3,N,400.00,3,
10353044,2263,2018/04/30,1,2 Day Debit,1,N,37.00,3,
10353946,3197,2018/04/30,1,2 Day Debit,3,S,300.00,3,
9952013,2982,2018/04/30,2,2 Day Debit,3,N,299.00,3,
